property_name,layer,train_size,validation_size,positive_train,positive_validation,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,centroid_distance,cosine_separation,fisher_ratio,composite_score
modularity,2,1180,295,283,71,0.6271186440677966,0.49471830985915494,0.2328767123287671,0.23943661971830985,0.2361111111111111,0.4766096579476861,0.5004202638501787,0.001212451883812804,0.004561963707405831,0.41485372221698047
modularity,3,1180,295,283,71,0.6677966101694915,0.5455545774647887,0.30985915492957744,0.30985915492957744,0.30985915492957744,0.5260940643863179,0.5524419119181023,0.0011051837818308874,0.004654878046478956,0.45760520785024256
modularity,4,1180,295,283,71,0.6745762711864407,0.5452087525150905,0.31343283582089554,0.29577464788732394,0.30434782608695654,0.5435425050301811,0.6136034771133834,0.0010095202773293677,0.004880786530939424,0.4635728150420362
modularity,5,1180,295,283,71,0.6542372881355932,0.5270057847082495,0.28169014084507044,0.28169014084507044,0.28169014084507044,0.5277288732394366,0.679442969665665,0.0010175941386370013,0.0049675501461619465,0.44894944732309855
modularity,6,1180,295,283,71,0.6644067796610169,0.538512323943662,0.3,0.29577464788732394,0.2978723404255319,0.5065392354124748,0.7730306810154248,0.001094930485923462,0.005341319378175982,0.44734183555550583
modularity,7,1180,295,283,71,0.6135593220338983,0.4857897384305835,0.22077922077922077,0.23943661971830985,0.22972972972972974,0.5310613682092555,0.8833263436896538,0.0010181215502486074,0.00544903735901605,0.42957927402856627
modularity,8,1180,295,283,71,0.6372881355932203,0.525465291750503,0.275,0.30985915492957744,0.2913907284768212,0.5539486921529175,0.9318405526155985,0.0010306611332314697,0.005140677968967205,0.45738184611197474
modularity,9,1180,295,283,71,0.6101694915254238,0.5076081488933601,0.25,0.30985915492957744,0.27672955974842767,0.5417505030181087,1.073731247032098,0.0010990668192867314,0.005457722468808232,0.4442309651159519
modularity,10,1180,295,283,71,0.6338983050847458,0.5088028169014085,0.25333333333333335,0.2676056338028169,0.2602739726027397,0.5506790744466801,1.1292160751736142,0.0010634343251861855,0.005064777929165314,0.44789497279012397
modularity,11,1180,295,283,71,0.6576271186440678,0.5340480382293763,0.2916666666666667,0.29577464788732394,0.2937062937062937,0.5705482897384306,1.2506391067003573,0.0010112069639972576,0.004888366969068866,0.46744560858547757
modularity,12,1180,295,283,71,0.6508474576271186,0.5632545271629779,0.3181818181818182,0.39436619718309857,0.3522012578616352,0.5687877263581489,1.3448815694956644,0.0009334094756306976,0.004669220011165568,0.48140009576470466
modularity,13,1180,295,283,71,0.6338983050847458,0.5472837022132797,0.2967032967032967,0.38028169014084506,0.3333333333333333,0.56841046277666,1.5110106494533766,0.0009452301001652286,0.004831236707224325,0.4733067142907843
modularity,14,1180,295,283,71,0.6372881355932203,0.525465291750503,0.275,0.30985915492957744,0.2913907284768212,0.5588531187122736,1.675470645184038,0.0009648548761440612,0.004919170133952932,0.4590655009773011
modularity,15,1180,295,283,71,0.6271186440677966,0.5283890845070423,0.27586206896551724,0.3380281690140845,0.3037974683544304,0.5262826961770624,1.8682411825371856,0.0009004633754655655,0.005162560659720184,0.44916389274247404
modularity,16,1180,295,283,71,0.6135593220338983,0.5242706237424547,0.26881720430107525,0.352112676056338,0.3048780487804878,0.5234532193158953,2.1311400328491774,0.0009261703009431077,0.0054894867054489024,0.44616286614590656
